filter,mse,psnr,ssim
Ideal LP,0.00400068184737308,23.978659843431128,0.7105315256227231
Ideal HP,0.263980733737894,5.784277683447424,0.13884625934679687
Gaussian LP,0.0026867774317803437,25.707683083167822,0.8635795394999894
Butterworth LP,0.0033846824362686345,24.704820722213455,0.8167563170679436
