alpha,method,k,mse,psnr,ssim,energy_kept,energy_frac,bytes_est,comp_ratio,alloc
0.3,global,78643,0.00040027703626998017,33.97639324477208,0.8769607440804654,88909.7284630806,3.8101855016501797e-06,1887432,1.1111139368199756,
0.3,adaptive,78643,0.0005790048623684901,32.37317789137957,0.8167425601751079,88862.30980780676,3.8081533969980197e-06,1887432,1.1111139368199756,{}
0.5,global,131072,0.0001614447228514961,37.91976146211587,0.9332560092544621,88972.56603477111,3.8128783768703927e-06,3145728,0.6666666666666666,
0.5,adaptive,131072,0.00022822875746417542,36.41629634145963,0.9067485607246661,88954.92183602521,3.8121222428520803e-06,3145728,0.6666666666666666,{}
0.7,global,183500,4.962336548950143e-05,43.04313784925671,0.9741777518343941,89001.98180699558,3.814138976253463e-06,4404000,0.47619255222524975,
0.7,adaptive,183500,7.595972091855801e-05,41.19416639561046,0.9622924492805645,88995.05314545284,3.813842051651259e-06,4404000,0.47619255222524975,{}
